imdb_score,genres,movie_title,content_rating,title_year,duration
6.7,Action|Crime|Thriller,The Fast and the Furious,PG-13,2001,106
7.8,Drama|Fantasy|Romance,The Curious Case of Benjamin Button,PG-13,2008,166
7.8,Action|Adventure|Sci-Fi,X-Men: First Class,PG-13,2011,132
6.6,Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2,PG-13,2015,137
6.1,Action|Adventure|Family|Fantasy,The Sorcerer's Apprentice,PG,2010,109
5.6,Action|Adventure|Drama|Thriller,Poseidon,PG-13,2006,98
6.4,Adventure|Family|Fantasy,Alice Through the Looking Glass,PG,2016,113
6.1,Adventure|Animation|Comedy|Family|Fantasy,Shrek the Third,PG,2007,93
7.3,Action|Adventure|Fantasy,Warcraft,PG-13,2016,123
6.6,Action|Adventure|Sci-Fi,Terminator Genisys,PG-13,2015,126
6.3,Adventure|Family|Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,2010,113
6.1,Action|Drama|History|Romance|War,Pearl Harbor,PG-13,2001,184
7.1,Action|Adventure|Sci-Fi,Transformers,PG-13,2007,144
5.5,Action|Adventure|Biography|Drama|History|Romance|War,Alexander,R,2004,206
7.5,Adventure|Family|Fantasy|Mystery,Harry Potter and the Order of the Phoenix,PG-13,2007,138
7.6,Adventure|Family|Fantasy|Mystery,Harry Potter and the Goblet of Fire,PG-13,2005,157
6.4,Action|Drama,Hancock,PG-13,2008,102
7.2,Drama|Horror|Sci-Fi,I Am Legend,PG-13,2007,104
6.7,Adventure|Comedy|Family|Fantasy,Charlie and the Chocolate Factory,PG,2005,115
8,Animation|Comedy|Family|Fantasy,Ratatouille,G,2007,111
8.3,Action|Adventure,Batman Begins,PG-13,2005,128
6.7,Action|Adventure|Animation|Comedy|Family,Madagascar: Escape 2 Africa,PG,2008,89
5.9,Adventure|Comedy|Family|Fantasy,Night at the Museum: Battle of the Smithsonian,PG,2009,105
6.7,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men Origins: Wolverine,PG-13,2009,119
6.7,Action|Sci-Fi,The Matrix Revolutions,R,2003,129
7.6,Adventure|Animation|Comedy|Family|Fantasy|Musical,Frozen,PG,2013,102
7.2,Action|Sci-Fi,The Matrix Reloaded,R,2003,138
7.1,Action|Adventure|Fantasy,Thor: The Dark World,PG-13,2013,112
8.1,Action|Adventure|Sci-Fi|Thriller,Mad Max: Fury Road,R,2015,120
6.7,Mystery|Thriller,Angels & Demons,PG-13,2009,146
7,Action|Adventure|Fantasy,Thor,PG-13,2011,115
6.9,Adventure|Animation|Comedy|Drama|Family,Bolt,PG,2008,96
5.1,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,G-Force,PG,2009,88
5.8,Action|Adventure|Fantasy,Wrath of the Titans,PG-13,2012,99
6.2,Comedy|Fantasy|Horror,Dark Shadows,PG-13,2012,113
7.4,Action|Adventure|Thriller,Mission: Impossible - Rogue Nation,PG-13,2015,131
5.8,Drama|Fantasy|Horror|Thriller,The Wolfman,R,2010,119
6.6,Action|Adventure|Drama|Romance,The Legend of Tarzan,PG-13,2016,110
6.2,Adventure|Animation|Comedy|Family,Bee Movie,PG,2007,91
7.3,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 2,PG,2011,90
4.2,Action|Adventure|Family|Fantasy,The Last Airbender,PG,2010,103
6.9,Action|Adventure|Thriller,Mission: Impossible III,PG-13,2006,124
6.4,Action|Drama|Thriller,White House Down,PG-13,2013,131
5.4,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Mars Needs Moms,PG,2011,88
6.7,Adventure|Animation|Comedy|Family,Flushed Away,PG,2006,85
5.8,Adventure|Family|Fantasy,Pan,PG,2015,111
6.9,Adventure|Animation|Comedy|Family|Sci-Fi,Mr. Peabody & Sherman,PG,2014,92
7.2,Adventure,Troy,R,2004,196
6.9,Adventure|Animation|Comedy|Family,Madagascar 3: Europe's Most Wanted,PG,2012,93
6.1,Action|Adventure|Thriller,Die Another Day,PG-13,2002,133
5.5,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters,PG-13,2016,116
6.6,Action|Adventure|Sci-Fi|Thriller,Armageddon,PG-13,1998,153
6.1,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Men in Black II,PG-13,2002,88
6.3,Action|Adventure|Animation|Fantasy,Beowulf,PG-13,2007,115
7.2,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 3,PG,2016,95
7.4,Action|Adventure|Thriller,Mission: Impossible - Ghost Protocol,PG-13,2011,133
7.3,Adventure|Animation|Family|Fantasy,Rise of the Guardians,PG,2012,97
6.1,Comedy|Crime,Fun with Dick and Jane,PG-13,2005,90
7.7,Action|Drama|History|War,The Last Samurai,R,2003,154
6.1,Action|Adventure|Drama,Exodus: Gods and Kings,PG-13,2014,150
8,Action|Adventure|Sci-Fi,Star Trek,PG-13,2009,127
7.3,Action|Adventure|Fantasy|Romance,Spider-Man,PG-13,2002,121
7.9,Action|Adventure|Animation|Comedy|Family|Fantasy,How to Train Your Dragon 2,PG,2014,102
5.5,Action|Adventure|Fantasy,Gods of Egypt,PG-13,2016,126
5,Action|Adventure|Sci-Fi|Thriller,Stealth,PG-13,2005,121
7.7,Action|Drama|Mystery|Sci-Fi,Watchmen,R,2009,215
6.6,Action|Crime|Thriller,Lethal Weapon 4,R,1998,127
5.7,Action|Sci-Fi,Hulk,PG-13,2003,138
5.8,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: Retaliation,PG-13,2013,122
6,Action|Adventure|Comedy|Thriller,Sahara,PG-13,2005,124
6.4,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Final Fantasy: The Spirits Within,PG-13,2001,106
6.9,Action|Adventure|Sci-Fi,Captain America: The First Avenger,PG-13,2011,124
6.4,Action|Adventure|Thriller,The World Is Not Enough,PG-13,1999,128
7.4,Action|Adventure|Drama|History|War,Master and Commander: The Far Side of the World,PG-13,2003,138
5.5,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2,PG-13,2012,115
5.9,Animation|Comedy|Family|Musical,Happy Feet 2,PG,2011,100
6.8,Action|Adventure|Sci-Fi,The Incredible Hulk,PG-13,2008,135
7.5,Action|Crime|Drama|Mystery|Thriller,Miami Vice            ,TV-14,,60
6.8,Adventure|Family|Fantasy,The BFG,PG,2016,117
8.1,Adventure|Drama|Thriller|Western,The Revenant,R,2015,156
6.5,Adventure|Animation|Comedy|Family|Sport,Turbo,PG,2013,96
7.2,Adventure|Animation|Comedy|Family|Western,Rango,PG,2011,107
6.7,Adventure|Animation|Comedy|Family,Penguins of Madagascar,PG,2014,92
8.1,Action|Mystery|Thriller,The Bourne Ultimatum,PG-13,2007,115
7.6,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda,PG,2008,92
7.4,Action|Adventure|Comedy|Sci-Fi,Ant-Man,PG-13,2015,117
7.6,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire,PG-13,2013,146
5.5,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2,PG-13,2012,115
6.7,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home,PG,2015,94
6.5,Adventure|Sci-Fi|Thriller,War of the Worlds,PG-13,2005,116
6.6,Action|Comedy|Crime|Thriller,Bad Boys II,R,2003,147
6.7,Action|Adventure|Animation|Comedy|Family|Fantasy,Puss in Boots,PG,2011,90
6.4,Action|Crime|Mystery|Thriller,Salt,PG-13,2010,101
5.8,Action|Adventure|Drama,Noah,PG-13,2014,138
7.4,Action|Adventure|Family|Mystery,The Adventures of Tintin,PG,2011,107
7.8,Adventure|Family|Fantasy|Mystery,Harry Potter and the Prisoner of Azkaban,PG,2004,142
6.6,Adventure|Drama|Romance|War,Australia,PG-13,2008,165
4.9,Action|Adventure|Sci-Fi,After Earth,PG-13,2013,100
6.5,Adventure|Animation|Family|Thriller,Dinosaur,PG,2000,82
7.5,Action|Fantasy,Harry Potter and the Deathly Hallows: Part II,,2011,
6.2,Adventure|Comedy|Family|Fantasy,Night at the Museum: Secret of the Tomb,PG,2014,98
7.3,Action|Animation|Comedy|Family|Sci-Fi,Megamind,PG,2010,95
7.5,Adventure|Family|Fantasy,Harry Potter and the Sorcerer's Stone,PG,2001,159
5.6,Action|Comedy|Fantasy,R.I.P.D.,PG-13,2013,96
8.2,Action|Adventure|Drama|Horror|Sci-Fi,Godzilla Resurgence,,2016,120
8.1,Action|Adventure|Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,2003,143
6.4,Fantasy,Harry Potter and the Deathly Hallows: Part I,,2010,
6.7,Adventure|Sci-Fi|Thriller,The Hunger Games: Mockingjay - Part 1,PG-13,2014,123
6.6,Mystery|Thriller,The Da Vinci Code,PG-13,2006,174
6.4,Adventure|Animation|Comedy|Family|Musical,Rio 2,G,2014,101
7.5,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men 2,PG-13,2003,134
7.3,Action|Crime|Thriller,Fast Five,PG-13,2011,132
7.5,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes: A Game of Shadows,PG-13,2011,129
5.8,Action|Adventure|Fantasy,Clash of the Titans,PG-13,2010,106
7.5,Action|Sci-Fi,Total Recall,R,1990,113
6.6,Action|Adventure|History,The 13th Warrior,R,1999,102
6.7,Action|Adventure|Thriller,The Bourne Legacy,PG-13,2012,135
3.7,Action,Batman & Robin,PG-13,1997,125
6,Comedy|Family|Fantasy,How the Grinch Stole Christmas,PG,2000,110
6.4,Action|Adventure|Sci-Fi|Thriller,The Day After Tomorrow,PG-13,2004,124
6.1,Action|Adventure|Thriller,Mission: Impossible II,PG-13,2000,123
6.4,Action|Adventure|Drama|Thriller,The Perfect Storm,PG-13,2000,130
5.6,Action|Adventure|Sci-Fi|Thriller,Fantastic 4: Rise of the Silver Surfer,PG,2007,92
8,Adventure|Drama|Fantasy,Life of Pi,PG,2012,127
5.2,Action|Fantasy|Thriller,Ghost Rider,PG-13,2007,123
7.1,Action|Thriller,Jason Bourne,PG-13,2016,123
4.8,Action|Adventure|Comedy|Crime,Charlie's Angels: Full Throttle,PG-13,2003,107
7,Adventure|Mystery|Sci-Fi,Prometheus,R,2012,124
5.4,Adventure|Animation|Comedy|Family|Fantasy,Stuart Little 2,PG,2002,77
6.6,Action|Drama|Sci-Fi|Thriller,Elysium,R,2013,109
6.7,Action|Adventure|Sci-Fi|Thriller,The Chronicles of Riddick,PG-13,2004,134
6.2,Action|Crime|Sci-Fi|Thriller,RoboCop,PG-13,2014,117
6.1,Action|Family|Sport,Speed Racer,PG,2008,135
5.3,Comedy|Drama|Romance,How Do You Know,PG-13,2010,121
6.3,Action|Comedy|Romance,Knight and Day,PG-13,2010,117
7,Action|Adventure|Mystery|Sci-Fi,Oblivion,PG-13,2013,124
7.6,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode III - Revenge of the Sith,PG-13,2005,140
6.7,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode II - Attack of the Clones,PG,2002,142
8.1,Adventure|Animation|Comedy|Family|Fantasy,"Monsters, Inc.",G,2001,92
6.7,Action|Adventure|Sci-Fi|Thriller,The Wolverine,PG-13,2013,138
6.5,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode I - The Phantom Menace,PG,1999,136
7.3,Adventure|Animation|Comedy|Family|Fantasy,The Croods,PG,2013,98
5.1,Adventure|Comedy|Family|Fantasy,Asterix at the Olympic Games,,2008,116
6,Action|Drama|War,Windtalkers,R,2002,153
6.1,Action|Adventure|Drama|Fantasy,The Huntsman: Winter's War,PG-13,2016,120
5.9,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles,PG-13,2014,101
7.8,Adventure|Drama|Sci-Fi|Thriller,Gravity,PG-13,2013,91
5.8,Action|Adventure|Thriller,Dante's Peak,PG-13,1997,108
6.3,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,2016,112
4.3,Action|Adventure|Sci-Fi,Fantastic Four,PG-13,2015,100
6.4,Action|Adventure|Comedy|Family|Fantasy,Night at the Museum,PG,2006,108
6.1,Action|Adventure|Drama|Thriller,San Andreas,PG-13,2015,114
6.5,Action|Adventure|Thriller,Tomorrow Never Dies,PG-13,1997,119
7.1,Action|Drama|History|War,The Patriot,R,2000,142
6.4,Crime|Thriller,Ocean's Twelve,PG-13,2004,125
6.5,Action|Comedy|Crime|Romance|Thriller,Mr. & Mrs. Smith,PG-13,2005,126
6.3,Adventure|Sci-Fi|Thriller,Insurgent,PG-13,2015,119
7.5,Biography|Drama,The Aviator,PG-13,2004,170
4.9,Adventure|Comedy|Family|Fantasy,Gulliver's Travels,PG,2010,85
5.8,Action|Comedy|Crime|Sci-Fi|Thriller,The Green Hornet,PG-13,2011,119
7.6,Action|Adventure|Crime,The A-Team            ,TV-PG,,60
6.2,Action|Drama|Fantasy|War,300: Rise of an Empire,R,2014,102
5.5,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs,PG,2011,103
5.4,Animation|Comedy|Family|Music|Western,Home on the Range,PG,2004,76
5.8,Action|Adventure|Mystery|Sci-Fi|Thriller,Allegiant,PG-13,2016,120
7.1,Action|Drama|Sci-Fi|Sport,Real Steel,PG-13,2011,127
5.4,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs 2,PG,2013,105
3.7,Action|Crime|Romance|Thriller,Speed 2: Cruise Control,PG-13,1997,121
6.7,Action|Sci-Fi,Ender's Game,PG-13,2013,114
7.2,Action|Adventure|Thriller,Live Free or Die Hard,PG-13,2007,129
8.8,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Fellowship of the Ring,PG-13,2001,171
5.8,Action|Adventure|Comedy,Around the World in 80 Days,PG,2004,120
6.8,Biography|Drama|Sport,Ali,R,2001,165
3.8,Adventure|Comedy|Family|Fantasy,The Cat in the Hat,PG,2003,82
7.1,Action|Mystery|Sci-Fi|Thriller,"I, Robot",PG-13,2004,115
7.2,Action|Adventure|Drama|History|War,Kingdom of Heaven,R,2005,194
5.9,Adventure|Comedy|Family|Fantasy,Stuart Little,PG,1999,84
7.1,Animation|Family|Fantasy|Musical|Romance,The Princess and the Frog,G,2009,97
8.1,Adventure|Drama|Sci-Fi,The Martian,PG-13,2015,151
7.2,Comedy,"10,000 B.C.            ",,,22
6.9,Action|Adventure|Romance|Sci-Fi|Thriller,The Island,PG-13,2005,136
4.4,Comedy|Romance,Town & Country,R,2001,104
6.5,Action|Crime|Thriller,Gone in Sixty Seconds,PG-13,2000,127
8.5,Action|Drama|Romance,Gladiator,R,2000,171
7.7,Action|Mystery|Sci-Fi|Thriller,Minority Report,PG-13,2002,145
7.4,Adventure|Family|Fantasy|Mystery,Harry Potter and the Chamber of Secrets,PG,2002,174
8,Action|Adventure|Thriller,Casino Royale,PG-13,2006,144
5.7,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes,PG-13,2001,119
8.5,Action|Sci-Fi,Terminator 2: Judgment Day,R,1991,153
7,Biography|Crime|Drama|History|Romance,Public Enemies,R,2009,140
7.8,Biography|Crime|Drama,American Gangster,R,2007,176
7.2,Action|Comedy|Thriller,True Lies,R,1994,141
6.4,Action|Crime|Thriller,The Taking of Pelham 1 2 3,R,2009,106
5.5,Comedy|Romance,Little Fockers,PG-13,2010,98
6.7,Action|Comedy|Crime,The Other Guys,PG-13,2010,116
6.1,Action|Drama|Mystery|Thriller,Eraser,R,1996,115
8.5,Drama|Western,Django Unchained,R,2012,165
6.9,Animation|Drama|Family|Musical|Romance,The Hunchback of Notre Dame,G,1996,91
7.3,Adventure|Animation|Comedy|Family|Fantasy,The Emperor's New Groove,G,2000,78
6.7,Action|Adventure|Thriller,The Expendables 2,R,2012,103
6.9,Action|Adventure|Comedy|Family|Mystery,National Treasure,PG,2004,131
5.1,Action|Adventure|Family|Fantasy,Eragon,PG,2006,104
6.8,Adventure|Drama|Family|Fantasy,Where the Wild Things Are,PG,2009,101
5.8,Adventure|Family|Fantasy,Pan,PG,2015,111
6.7,Adventure|Animation|Family|Fantasy,Epic,PG,2013,102
6,Action|Romance|Thriller,The Tourist,PG-13,2010,103
5.7,Action|Fantasy|Horror|Mystery,End of Days,R,1999,121
8,Adventure|Drama|Thriller,Blood Diamond,R,2006,143
8.2,Biography|Comedy|Crime|Drama,The Wolf of Wall Street,R,2013,240
5.4,Action|Adventure|Fantasy,Batman Forever,PG-13,1995,121
7.2,Action|Sci-Fi|War,Starship Troopers,R,1997,129
7.5,Drama|Sci-Fi,Cloud Atlas,R,2012,172
7,Action|Adventure|Animation|Family|Fantasy,Legend of the Guardians: The Owls of Ga'Hoole,PG,2010,101
3.3,Action|Crime|Fantasy|Romance|Thriller,Catwoman,PG-13,2004,87
6,Action|Adventure,Hercules,PG-13,2014,101
7.1,Adventure|Animation|Family|Sci-Fi,Treasure Planet,PG,2002,95
5.4,Adventure|Comedy|Sci-Fi,Land of the Lost,PG-13,2009,102
6.1,Action|Adventure|Thriller,The Expendables 3,PG-13,2014,131
5.3,Action|Crime|Sport|Thriller,Point Break,PG-13,2015,114
2.2,Comedy|Family|Fantasy,Son of the Mask,PG,2005,94
7,Action|Adventure|Biography|Drama|History|Thriller,In the Heart of the Sea,PG-13,2015,122
3.8,Action|Comedy|Sci-Fi,The Adventures of Pluto Nash,PG-13,2002,95
6.9,Action|Drama|Thriller|War,Green Zone,R,2010,115
7.2,Adventure|Animation|Comedy|Family,The Peanuts Movie,G,2015,88
7.3,Drama|Mystery|Thriller,The Spanish Prisoner,PG,1997,110
6.3,Action|Adventure|Fantasy|Thriller,The Mummy Returns,PG-13,2001,130
7.5,Crime|Drama,Gangs of New York,R,2002,216
7.6,Drama|History|Romance|War,The Flowers of War,R,2011,146
6.8,Animation|Comedy|Family|Sport,Surf's Up,PG,2007,85
5.2,Comedy|Sci-Fi|Thriller,The Stepford Wives,PG-13,2004,93
7.7,Drama|History|War,Black Hawk Down,R,2001,152
6.2,Comedy,The Campaign,R,2012,85
7.7,Action|Adventure|Sci-Fi,The Fifth Element,PG-13,1997,126
4.3,Comedy|Drama|Romance,Sex and the City 2,R,2010,146
6.9,Adventure|Animation|Comedy|Family|Romance,The Road to El Dorado,PG,2000,89
6.6,Adventure|Animation|Comedy|Family,Ice Age: Continental Drift,PG,2012,88
7,Drama|Family|Fantasy|Romance,Cinderella,PG,2015,105
6.7,Drama|Fantasy|Thriller,The Lovely Bones,PG-13,2009,135
8.2,Adventure|Animation|Comedy|Family,Finding Nemo,G,2003,100
8.9,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Return of the King,PG-13,2003,192
8.7,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Two Towers,PG-13,2002,172
5.5,Action|Adventure|Fantasy,Seventh Son,PG-13,2014,102
5.7,Action|Adventure|Fantasy|Thriller,Lara Croft: Tomb Raider,PG-13,2001,100
6.3,Drama|Mystery|Romance|Sci-Fi|Thriller,Transcendence,PG-13,2014,119
5.9,Action|Adventure|Sci-Fi|Thriller,Jurassic Park III,PG-13,2001,92
7.6,Action|Drama|Sci-Fi|Thriller,Rise of the Planet of the Apes,PG-13,2011,105
6.6,Adventure|Family|Fantasy,The Spiderwick Chronicles,PG,2008,107
5.3,Action|Thriller,A Good Day to Die Hard,R,2013,101
6,Drama|History|War|Western,The Alamo,PG-13,2004,137
8,Action|Adventure|Animation|Family,The Incredibles,PG,2004,115
5.6,Action|Adventure|Comedy,Cutthroat Island,PG-13,1995,124
